logFC	se	df	t	pval	adjPval	protein	fit_status	model	adjPval_BH
-1.18440436693959	0.0494462001481464	17.9259511601705	-23.953395071633	4.61166284486165e-15	5.17428571193477e-12	WP_003040849	rlm	naive	5.17428571193477e-12
-1.4255203843444	0.07747715981849	16.3639184473484	-18.3992338862711	2.31545084434233e-12	1.29896792367605e-09	WP_003023392	rlm	naive	1.29896792367605e-09
-0.996956698219578	0.0637524826514369	16.3989203778951	-15.6379274462201	2.79826991488775e-11	1.04655294816802e-08	WP_003040894	rlm	naive	1.04655294816802e-08
-1.22894772109567	0.0690643631646364	14.1914729738439	-17.7942380814558	4.19442478883656e-11	1.05777229389166e-08	WP_003033719	rlm	naive	1.05777229389166e-08
-0.995249972835026	0.0719514131601295	18.0648625945501	-13.8322505302304	4.71378027580952e-11	1.05777229389166e-08	WP_003026016	rlm	naive	1.05777229389166e-08
-2.72426824706301	0.131185373251533	11.2193445043866	-20.7665548341242	2.62696678359545e-10	4.18817505430075e-08	WP_011733565	rlm	naive	4.18817505430075e-08
-0.561052221219292	0.0454724984949698	18.1199423808113	-12.3382756564686	2.96249047151792e-10	4.18817505430075e-08	WP_003020026	rlm	naive	4.18817505430075e-08
-0.851816673433046	0.065351412760854	16.9220005000031	-13.0344033502408	2.9862210725852e-10	4.18817505430075e-08	WP_011733695	rlm	naive	4.18817505430075e-08
-0.40676345855655	0.033728586401944	18.0420014446965	-12.0599023543158	4.52611287030039e-10	5.64255404497448e-08	WP_011733723	rlm	naive	5.64255404497448e-08
-0.542316471600255	0.045676328499472	18.2193445043866	-11.8730311611303	5.17281911139144e-10	5.80390304298119e-08	WP_003035026	rlm	naive	5.80390304298119e-08
-0.639690421509991	0.053925975657969	17.7481075396813	-11.8623801183922	7.19521784165491e-10	7.33912219848801e-08	WP_003038437	rlm	naive	7.33912219848801e-08
-0.827818742708937	0.0712312510310095	17.7373735097504	-11.6215668084863	1.00247075929281e-09	9.3731015993878e-08	WP_003038425	rlm	naive	9.3731015993878e-08
-1.61223271755037	0.135642443672431	16.1511308791683	-11.8859014472183	2.11943407806682e-09	1.82923464276229e-07	WP_003038816	rlm	naive	1.82923464276229e-07
-0.526514105377988	0.0489177935019693	17.3581687480351	-10.7632431408991	4.18599864261673e-09	3.33310426631398e-07	WP_003014373	rlm	naive	3.33310426631398e-07
-1.11800447466535	0.0975374657613658	15.8391706138827	-11.4623080058349	4.45602174640907e-09	3.33310426631398e-07	WP_003033905	rlm	naive	3.33310426631398e-07
0.919769257804488	0.0752325297381325	14.46909938778	12.2256856310162	5.06822610691164e-09	3.55409355747179e-07	WP_003040752	rlm	naive	3.55409355747179e-07
0.743355616303869	0.0721033846811917	17.9479018525043	10.309580050793	5.74067817275104e-09	3.78884759401569e-07	WP_003038350	rlm	naive	3.78884759401569e-07
