protein	logFC_mixed	logFC_naive	se_mixed	se_naive	pval_mixed	pval_naive	adjP_mixed	adjP_naive	df_mixed	df_naive
WP_003013731	-0.126922164427248	-0.116302442332711	0.133240252612956	0.0868497548201137	0.356385021311177	0.197532540993549	0.580101166075857	0.334285838604468	14.5263375708688	17.6395595045157
WP_003013860	0.191939966549999	-0.033690829962089	0.999903926962221	0.236271731161364	0.855479415650539	0.891407045258042	0.940845430341715	0.938235182720003	4.89742312120599	5.83508481219646
WP_003013909	0.256948497167327	0.256518950581646	0.0706852495616623	0.0503618852990719	0.002428270188052	7.31563074391533e-05	0.0181712836219999	0.000684011474556083	15.0640805719475	18.2193445043866
WP_003014068	-0.15974520506332	-0.137735762690226	0.161347393105645	0.0898663677281412	0.33871971598462	0.142601807848233	0.562012623992339	0.265338687239995	14.1928869002598	18.1502269955304
WP_003014122	-0.240212778532933	-0.240212625991036	0.111194132719918	0.114680050577554	0.0445691335011637	0.051099576497505	0.152906411857838	0.120702578589896	17.8895652270646	17.4352493168806
WP_003014123	-0.156927642510275	-0.149517487989724	0.155867032137207	0.101043238429605	0.330428959807338	0.156377793050797	0.558086532456408	0.283262761112205	14.5958162148929	17.8485097958753
WP_003014302	0.00727057985914096	0.0116981719259651	0.0919308206619878	0.0521702634998532	0.938054091941283	0.825136049483936	0.967558105933886	0.898715859678015	14.3664491454389	17.7680641012705
WP_003014346	-0.330858904249634	-0.324139111717615	0.0635376515419087	0.0464924348888372	0.000106840376806562	2.725898866241e-06	0.00167550250993952	5.27320435848691e-05	14.9747540153484	16.4226467837454
WP_003014349	-0.414988618801753	-0.408086025737737	0.0894128008043509	0.0544468018067997	0.000346573809945428	9.24761235909853e-07	0.00432453546779456	2.49434189112947e-05	14.5327478178296	16.8543906086834
WP_003014352	-0.235913118563697	-0.232568153852319	0.0412304621779806	0.0478443828983348	2.08972879891574e-05	0.00014682013582815	0.000529556275179784	0.00109821461599457	17.8000431295284	16.996365438764
WP_003014363	-0.341042622191782	-0.347471468956526	0.241337125617982	0.122913597765686	0.179354406296278	0.0110795401872714	0.383103760575382	0.0370116557192023	14.07032357464	18.2193445043866
WP_003014373	-0.526609076491311	-0.526514105377988	0.0430938046996773	0.0489177935019693	4.06422026135656e-10	4.18599864261673e-09	1.13290139785314e-07	3.33310426631398e-07	17.8895618478383	17.3581687480351
WP_003014378	-0.568318815870025	-0.559864584261766	0.115713729223009	0.0675253960204861	0.000210216515299891	1.91492532992444e-07	0.00292989268199223	7.83545014992284e-06	14.4300275381026	17.3624923567331
WP_003014382	-0.324368373690408	-0.323426423226923	0.134844250900942	0.0660686019572649	0.0304164317145906	0.000114099411456435	0.114189634214709	0.000959686321292869	14.1160761248102	18.1373947829075
WP_003014552	-0.712066107525378	-0.713174991564655	0.114286755879554	0.120019087112552	9.41071310295782e-06	2.32509327416207e-05	0.000330142462894639	0.000280511253076328	16.8895652270646	15.5517910710035
WP_003014561	-0.210069870975889	-0.187829206971345	0.0943830715686815	0.0755427053077814	0.0413129492462456	0.0239481138663074	0.142657758647063	0.0663451450814738	15.4457070345538	16.503740749104
WP_003014581	-0.612495630821683	-0.61249529417149	0.0748895785474367	0.0797942691308061	2.82765622525488e-07	8.5194929898924e-07	2.42525899319938e-05	2.45099259863058e-05	16.8895652270646	16.257435136018
WP_003014682	0.0860207832977682	0.090894374066226	0.266459768275105	0.169926938482133	0.751386656983673	0.599185437716123	0.889380172544369	0.747815418373181	14.6503232990876	18.2193445043866
WP_003014689	0.0126671899640687	0.0203997461241058	0.215419813961615	0.113068579340465	0.953934308948593	0.858844079160429	0.972723511307129	0.915991498876427	14.1085655692475	17.956157731604
WP_003014807	-0.0397320566134806	-0.0433145293858441	0.137739359565872	0.13663112695479	0.778781681584757	0.757145263978323	0.903581243462023	0.856928876342557	10.1844154416929	11.0382034446917
WP_003014812	-0.0499446739318979	-0.0479040548154149	0.112280745295461	0.0809792923670939	0.662709434967179	0.561763557041174	0.827624748234652	0.716248535227496	15.2232598766243	17.3765457075988
WP_003014814	-0.0970002385250222	-0.0897863516252536	0.0660135457360048	0.0551701940531837	0.161927480087609	0.121711025107775	0.356112702756774	0.235830219225748	15.3451717392027	17.3063905989569
WP_003014820	NA	-0.51641274645862	NA	0.232775383580882	NA	0.0770322647311991	NA	0.167825633064865	NA	5.02252933192227
WP_003014822	-0.172372219661313	-0.168799138875914	0.114546030440317	0.0619766597126221	0.154170591270433	0.0138752789451805	0.34311419015276	0.0444801799328357	14.2747602169494	18.1255164559715
WP_003014877	0.219791284175606	0.218404247789932	0.0856161314857267	0.0668480935456022	0.0217177460340611	0.00471809676011521	0.0901761465566083	0.0187720020030116	14.6933502518808	16.3940874172134
WP_003014894	0.179344927320439	0.177060563516075	0.0910841564112903	0.0862384835243363	0.0656172592374343	0.0555471816200039	0.199354888418908	0.128387907289937	16.8573518797649	17.2461238145596
WP_003014901	-0.303523661669145	-0.303523606325237	0.193567827145732	0.208325187961409	0.143086138289541	0.174060183245246	0.323067345393695	0.306889377607063	11.8895652270646	10.6154621634059
WP_003014930	-0.0440985104338137	-0.0257663529718827	0.169616032375212	0.0860173530101985	0.798625799414249	0.767929679738035	0.916651984757625	0.859255710205246	14.1134258997503	18.1248686004034
WP_003015002	-0.578736606228567	-0.569659666323133	0.0898398353848106	0.0729494226564066	9.36098281311129e-06	4.00473393292993e-07	0.000330142462894639	1.48843129532658e-05	15.5422740003997	17.6064988797933
WP_003015034	0.0487168050902934	0.0487163970768118	0.0851925627290138	0.0931618343132152	0.575960083989173	0.609406842111819	0.781259724632516	0.751476846386667	14.8895652270646	13.6589612283387
WP_003015040	0.0693847719494403	0.058287041230453	0.190761298214749	0.0903991155661441	0.721477129747626	0.527524523785417	0.874398912683264	0.681107612988767	14.0517193596032	17.314830893606
WP_003015139	-0.178560570911115	-0.178560934608813	0.0668832276076644	0.0709937653834249	0.0156792190869803	0.0219318666756737	0.0728430386749293	0.0620340569169164	17.8895652270646	17.4825790907815
WP_003015169	-0.261058040709416	-0.255303103379917	0.121271035940748	0.0812727492233196	0.0481237365658964	0.00567262264673634	0.160652593625672	0.0216485803048918	14.9192875599304	17.9039258346907
WP_003015278	0.332991818060285	0.332991761771999	0.0987949809581945	0.106630517581678	0.00461831761226143	0.00812671012582056	0.0306513341528065	0.028673486670348	13.8895652270646	12.9340628897162
WP_003015446	-0.314440150244054	-0.307749902061188	0.265926870618208	0.291218647244442	0.252512849832626	0.305953371667104	0.476399031410116	0.462641082224381	17.8895652270646	16.3827455244448
WP_003015471	0.278771899290074	0.278773252439988	0.288682809695063	0.298645791666402	0.350723866122074	0.367470719607836	0.57508398636193	0.528592496666656	13.8895652270646	13.0999515229983
WP_003015509	0.28787222936815	0.186081047398597	0.213963125967615	0.138609372099163	0.21366577986523	0.207243579469708	0.432441476963097	0.345447107984663	8.40240008727185	10.6932551345103
