key	logFC_sage	logFC_maxquant	t_sage	t_maxquant	adjP_sage	adjP_maxquant	sig_sage	sig_maxquant
WP_003034338	-1.89763001044768	-1.22846346579062	-17.1444557799508	-2.81339299243825	0.00461008906583688	0.285218852250843	TRUE	FALSE
WP_003040267	-2.91331039343215	-0.116528726158551	-12.5399890210148	-0.631952548839767	0.00820065537318825	0.812049513421604	TRUE	FALSE
WP_003038816	-1.59102831967459	-1.68736480347338	-10.8947943162002	-6.73562065165914	0.0104113411974252	0.0913974000693852	TRUE	FALSE
WP_003040849	-1.35764416148869	-1.09860778315517	-9.45815912468184	-8.3182403171582	0.0172411487287816	0.0456123144252735	TRUE	TRUE
WP_003038425	-1.38894030842536	-0.9449955459515	-8.67435279701115	-5.6565472456666	0.031757666040671	0.0957301733910716	TRUE	FALSE
WP_003040995	-1.24956619228398	-1.27413369154809	-8.20288937892712	-3.45877437966715	0.031757666040671	0.235611453813959	TRUE	FALSE
WP_003038350	0.767233861307651	0.805298713407261	7.46828412253347	5.24758898549253	0.031757666040671	0.120461720093854	TRUE	FALSE
WP_003023392	-1.53339544596272	-1.29771280054188	-7.07475940289027	-7.9143795192261	0.0389847593419435	0.0456123144252735	TRUE	TRUE
WP_003020026	-0.904124598408905	-0.539981776140969	-6.73014563545243	-4.57700085793763	0.0410142608327875	0.149533897760824	TRUE	FALSE
WP_003017457	-1.11498198051859	-1.85748172391061	-6.38287829231531	-10.3248231730909	0.0435834982822342	0.0269833922794103	TRUE	TRUE
WP_003026016	-0.880817644423272	-1.00521610881536	-7.24180270755073	-5.47303690733007	0.0435834982822342	0.104431564377711	TRUE	FALSE
WP_003040894	-1.0868972475055	-0.943452397035823	-6.38326200276503	-6.55220875253634	0.0435834982822342	0.0913974000693852	TRUE	FALSE
WP_003033749	-0.710850882361949	-0.303473803103595	-6.09271664791715	-2.53922942456161	0.0454467010659067	0.30481145861351	TRUE	FALSE
WP_003035017	-0.938962829423345	-0.424841331996659	-5.91320624174518	-2.81193857286579	0.0489157188775031	0.285218852250843	TRUE	FALSE
